,Stock Code,Stock Name,Industry Type,Date,Open,Close,Highest,Lowest,Volume,Turnover,Price Fluctuation,Price Change Rate,Price Change,Turnover Ratio,P/E Ratio(dynamic)
621,600007,中国国贸,房地产开发,2024-05-07,22.08,22.31,22.42,21.89,26851,63064924.00,2.38,0.31,0.07,0.27,19.52
622,600007,中国国贸,房地产开发,2024-05-08,22.23,22.03,22.39,21.96,21554,50574604.00,1.93,-1.26,-0.28,0.21,19.52
623,600007,中国国贸,房地产开发,2024-05-09,22.06,22.52,22.57,21.92,23302,55187868.00,2.95,2.22,0.49,0.23,19.52
624,600007,中国国贸,房地产开发,2024-05-10,22.63,22.75,22.88,22.40,25518,61067537.00,2.13,1.02,0.23,0.25,19.52
625,600007,中国国贸,房地产开发,2024-05-13,22.73,22.76,22.94,22.20,29999,71754197.00,3.25,0.04,0.01,0.30,19.52
626,600007,中国国贸,房地产开发,2024-05-14,22.85,22.97,23.30,22.70,22732,55134174.00,2.64,0.92,0.21,0.23,19.52
627,600007,中国国贸,房地产开发,2024-05-15,22.76,22.89,23.38,22.76,25968,63245989.00,2.70,-0.35,-0.08,0.26,19.52
628,600007,中国国贸,房地产开发,2024-05-16,22.89,22.95,23.25,22.47,29689,72062487.00,3.41,0.26,0.06,0.29,19.52
629,600007,中国国贸,房地产开发,2024-05-17,22.88,23.45,23.50,22.70,38661,94470987.00,3.49,2.18,0.50,0.38,19.52
630,600007,中国国贸,房地产开发,2024-05-20,23.54,23.71,24.07,23.21,55850,139642196.00,3.67,1.11,0.26,0.55,19.52
631,600007,中国国贸,房地产开发,2024-05-21,23.74,24.01,24.15,23.70,34183,86266269.00,1.90,1.27,0.30,0.34,19.52
632,600007,中国国贸,房地产开发,2024-05-22,23.96,23.50,24.38,23.46,43879,110717552.00,3.83,-2.12,-0.51,0.44,19.52
633,600007,中国国贸,房地产开发,2024-05-23,23.22,23.92,23.96,23.20,42397,106012399.00,3.23,1.79,0.42,0.42,19.52
634,600007,中国国贸,房地产开发,2024-05-24,23.74,23.30,23.74,23.19,32036,79160260.00,2.30,-2.59,-0.62,0.32,19.52
635,600007,中国国贸,房地产开发,2024-05-27,23.14,23.29,23.31,22.70,29812,72676476.00,2.62,-0.04,-0.01,0.30,19.52
636,600007,中国国贸,房地产开发,2024-05-28,23.27,23.35,23.78,23.18,23268,57694828.00,2.58,0.26,0.06,0.23,19.52
637,600007,中国国贸,房地产开发,2024-05-29,23.22,23.26,23.46,23.11,21075,51776238.00,1.50,-0.39,-0.09,0.21,19.52
638,600007,中国国贸,房地产开发,2024-05-30,23.50,23.06,23.50,23.03,15270,37448145.00,2.02,-0.86,-0.20,0.15,19.52
639,600007,中国国贸,房地产开发,2024-05-31,23.13,23.12,23.40,22.95,16121,39436084.00,1.95,0.26,0.06,0.16,19.52
640,600007,中国国贸,房地产开发,2024-06-03,23.10,22.91,23.31,22.78,19877,48400304.00,2.29,-0.91,-0.21,0.20,19.52
641,600007,中国国贸,房地产开发,2024-06-04,22.82,23.38,23.45,22.76,21263,52106127.00,3.01,2.05,0.47,0.21,19.52
642,600007,中国国贸,房地产开发,2024-06-05,23.47,23.05,23.68,23.05,16840,41534688.00,2.69,-1.41,-0.33,0.17,19.52
643,600007,中国国贸,房地产开发,2024-06-06,23.04,23.11,23.35,23.04,17652,43274451.00,1.34,0.26,0.06,0.18,19.52
644,600007,中国国贸,房地产开发,2024-06-07,23.33,23.45,23.50,23.12,17646,43502705.00,1.64,1.47,0.34,0.18,19.52
645,600007,中国国贸,房地产开发,2024-06-11,23.40,23.16,23.59,23.05,27676,68193525.00,2.30,-1.24,-0.29,0.27,19.52
