,Stock Code,Stock Name,Industry Type,Date,Open,Close,Highest,Lowest,Volume,Turnover,Price Fluctuation,Price Change Rate,Price Change,Turnover Ratio,P/E Ratio(dynamic)
0,600000,浦发银行,银行,2023-10-09,6.76,6.71,6.76,6.68,277631,195214392.00,1.18,-1.03,-0.07,0.09,5.49
1,600000,浦发银行,银行,2023-10-10,6.81,6.69,6.82,6.69,240956,169856241.00,1.94,-0.30,-0.02,0.08,5.49
2,600000,浦发银行,银行,2023-10-11,6.74,6.70,6.76,6.69,240574,169371363.00,1.05,0.15,0.01,0.08,5.49
3,600000,浦发银行,银行,2023-10-12,6.77,6.82,6.85,6.74,363470,259223143.00,1.64,1.79,0.12,0.12,5.49
4,600000,浦发银行,银行,2023-10-13,6.79,6.78,6.83,6.76,196504,139771982.00,1.03,-0.59,-0.04,0.07,5.49
5,600000,浦发银行,银行,2023-10-16,6.80,6.75,6.81,6.72,249077,176097574.00,1.33,-0.44,-0.03,0.08,5.49
6,600000,浦发银行,银行,2023-10-17,6.77,6.77,6.78,6.73,190291,134630097.00,0.74,0.30,0.02,0.06,5.49
7,600000,浦发银行,银行,2023-10-18,6.75,6.73,6.79,6.73,214857,152063024.00,0.89,-0.59,-0.04,0.07,5.49
8,600000,浦发银行,银行,2023-10-19,6.72,6.52,6.73,6.51,616798,425956887.00,3.27,-3.12,-0.21,0.21,5.49
9,600000,浦发银行,银行,2023-10-20,6.49,6.55,6.61,6.48,310680,213203781.00,1.99,0.46,0.03,0.11,5.49
10,600000,浦发银行,银行,2023-10-23,6.55,6.51,6.57,6.48,238243,163199041.00,1.37,-0.61,-0.04,0.08,5.49
11,600000,浦发银行,银行,2023-10-24,6.53,6.50,6.54,6.49,281293,192108544.00,0.77,-0.15,-0.01,0.10,5.49
12,600000,浦发银行,银行,2023-10-25,6.54,6.61,6.61,6.51,268412,184734450.00,1.54,1.69,0.11,0.09,5.49
13,600000,浦发银行,银行,2023-10-26,6.61,6.64,6.70,6.57,247395,172369038.00,1.97,0.45,0.03,0.08,5.49
14,600000,浦发银行,银行,2023-10-27,6.64,6.67,6.70,6.62,194658,136008280.00,1.20,0.45,0.03,0.07,5.49
15,600000,浦发银行,银行,2023-10-30,6.54,6.48,6.57,6.45,523889,357184227.00,1.80,-2.85,-0.19,0.18,5.49
16,600000,浦发银行,银行,2023-10-31,6.47,6.50,6.52,6.46,261732,178254034.00,0.93,0.31,0.02,0.09,5.49
17,600000,浦发银行,银行,2023-11-01,6.51,6.54,6.56,6.48,282722,193451603.00,1.23,0.62,0.04,0.10,5.49
18,600000,浦发银行,银行,2023-11-02,6.58,6.62,6.63,6.54,246111,170407886.00,1.38,1.22,0.08,0.08,5.49
19,600000,浦发银行,银行,2023-11-03,6.62,6.57,6.63,6.57,222025,153480943.00,0.91,-0.76,-0.05,0.08,5.49
20,600000,浦发银行,银行,2023-11-06,6.57,6.62,6.64,6.57,194328,134702057.00,1.07,0.76,0.05,0.07,5.49
21,600000,浦发银行,银行,2023-11-07,6.60,6.59,6.62,6.57,159130,110004329.00,0.76,-0.45,-0.03,0.05,5.49
22,600000,浦发银行,银行,2023-11-08,6.58,6.58,6.60,6.55,177612,122454642.00,0.76,-0.15,-0.01,0.06,5.49
23,600000,浦发银行,银行,2023-11-09,6.58,6.61,6.64,6.56,219104,151983647.00,1.22,0.46,0.03,0.07,5.49
24,600000,浦发银行,银行,2023-11-10,6.59,6.56,6.64,6.54,204590,141085870.00,1.51,-0.76,-0.05,0.07,5.49
25,600000,浦发银行,银行,2023-11-13,6.56,6.56,6.58,6.50,141681,97098285.00,1.22,0.00,0.00,0.05,5.49
26,600000,浦发银行,银行,2023-11-14,6.55,6.56,6.59,6.55,137775,94936060.00,0.61,0.00,0.00,0.05,5.49
27,600000,浦发银行,银行,2023-11-15,6.61,6.64,6.67,6.59,243400,169286981.00,1.22,1.22,0.08,0.08,5.49
28,600000,浦发银行,银行,2023-11-16,6.65,6.61,6.66,6.60,144129,100069369.00,0.90,-0.45,-0.03,0.05,5.49
29,600000,浦发银行,银行,2023-11-17,6.62,6.54,6.62,6.53,207754,142782028.00,1.36,-1.06,-0.07,0.07,5.49
30,600000,浦发银行,银行,2023-11-20,6.56,6.59,6.60,6.51,183266,126204997.00,1.38,0.76,0.05,0.06,5.49
31,600000,浦发银行,银行,2023-11-21,6.62,6.64,6.68,6.60,296843,206909185.00,1.21,0.76,0.05,0.10,5.49
32,600000,浦发银行,银行,2023-11-22,6.65,6.62,6.67,6.62,175408,122178498.00,0.75,-0.30,-0.02,0.06,5.49
33,600000,浦发银行,银行,2023-11-23,6.61,6.61,6.64,6.57,157421,108872444.00,1.06,-0.15,-0.01,0.05,5.49
34,600000,浦发银行,银行,2023-11-24,6.61,6.63,6.66,6.60,201653,140204489.00,0.91,0.30,0.02,0.07,5.49
35,600000,浦发银行,银行,2023-11-27,6.64,6.58,6.65,6.54,231077,159319645.00,1.66,-0.75,-0.05,0.08,5.49
36,600000,浦发银行,银行,2023-11-28,6.60,6.55,6.60,6.54,182493,125495683.00,0.91,-0.46,-0.03,0.06,5.49
37,600000,浦发银行,银行,2023-11-29,6.56,6.50,6.56,6.48,284166,193955098.00,1.22,-0.76,-0.05,0.10,5.49
38,600000,浦发银行,银行,2023-11-30,6.50,6.53,6.57,6.50,317112,217508582.00,1.08,0.46,0.03,0.11,5.49
39,600000,浦发银行,银行,2023-12-01,6.53,6.53,6.58,6.50,289462,198723791.00,1.23,0.00,0.00,0.10,5.49
40,600000,浦发银行,银行,2023-12-04,6.54,6.49,6.55,6.49,188587,128887074.00,0.92,-0.61,-0.04,0.06,5.49
41,600000,浦发银行,银行,2023-12-05,6.50,6.39,6.50,6.37,346049,233696141.00,2.00,-1.54,-0.10,0.12,5.49
42,600000,浦发银行,银行,2023-12-06,6.38,6.29,6.39,6.29,398332,264013331.00,1.56,-1.56,-0.10,0.14,5.49
43,600000,浦发银行,银行,2023-12-07,6.29,6.29,6.32,6.21,305417,201249909.00,1.75,0.00,0.00,0.10,5.49
44,600000,浦发银行,银行,2023-12-08,6.28,6.35,6.36,6.26,295197,196385672.00,1.59,0.95,0.06,0.10,5.49
45,600000,浦发银行,银行,2023-12-11,6.32,6.40,6.40,6.21,336164,222209869.00,2.99,0.79,0.05,0.11,5.49
46,600000,浦发银行,银行,2023-12-12,6.36,6.39,6.41,6.32,170036,113954198.00,1.41,-0.16,-0.01,0.06,5.49
47,600000,浦发银行,银行,2023-12-13,6.38,6.39,6.43,6.35,286834,192579846.00,1.25,0.00,0.00,0.10,5.49
48,600000,浦发银行,银行,2023-12-14,6.38,6.32,6.40,6.31,198631,132441281.00,1.41,-1.10,-0.07,0.07,5.49
49,600000,浦发银行,银行,2023-12-15,6.34,6.25,6.38,6.25,337030,223425092.00,2.06,-1.11,-0.07,0.11,5.49
50,600000,浦发银行,银行,2023-12-18,6.25,6.26,6.29,6.19,275238,180979297.00,1.60,0.16,0.01,0.09,5.49
51,600000,浦发银行,银行,2023-12-19,6.26,6.24,6.27,6.21,189885,124564888.00,0.96,-0.32,-0.02,0.06,5.49
52,600000,浦发银行,银行,2023-12-20,6.26,6.21,6.30,6.21,193699,127359291.00,1.44,-0.48,-0.03,0.07,5.49
53,600000,浦发银行,银行,2023-12-21,6.20,6.25,6.27,6.17,281409,184156560.00,1.61,0.64,0.04,0.10,5.49
54,600000,浦发银行,银行,2023-12-22,6.25,6.26,6.29,6.21,235893,155129803.00,1.28,0.16,0.01,0.08,5.49
55,600000,浦发银行,银行,2023-12-25,6.24,6.26,6.29,6.23,129043,84908528.00,0.96,0.00,0.00,0.04,5.49
56,600000,浦发银行,银行,2023-12-26,6.25,6.24,6.28,6.22,119345,78321376.00,0.96,-0.32,-0.02,0.04,5.49
57,600000,浦发银行,银行,2023-12-27,6.24,6.28,6.29,6.19,184227,120867594.00,1.60,0.64,0.04,0.06,5.49
58,600000,浦发银行,银行,2023-12-28,6.28,6.36,6.37,6.27,348027,231691608.00,1.59,1.27,0.08,0.12,5.49
59,600000,浦发银行,银行,2023-12-29,6.34,6.30,6.38,6.29,338014,224306297.00,1.42,-0.94,-0.06,0.12,5.49
60,600000,浦发银行,银行,2024-01-02,6.31,6.28,6.33,6.28,220667,146066304.00,0.79,-0.32,-0.02,0.08,5.49
61,600000,浦发银行,银行,2024-01-03,6.27,6.32,6.33,6.27,182037,120639706.00,0.96,0.64,0.04,0.06,5.49
62,600000,浦发银行,银行,2024-01-04,6.32,6.30,6.35,6.23,288860,190580610.00,1.90,-0.32,-0.02,0.10,5.49
63,600000,浦发银行,银行,2024-01-05,6.28,6.36,6.44,6.27,444214,296976886.00,2.70,0.95,0.06,0.15,5.49
64,600000,浦发银行,银行,2024-01-08,6.36,6.27,6.39,6.24,375203,247977825.00,2.36,-1.42,-0.09,0.13,5.49
65,600000,浦发银行,银行,2024-01-09,6.28,6.29,6.32,6.22,307419,202647646.00,1.59,0.32,0.02,0.10,5.49
66,600000,浦发银行,银行,2024-01-10,6.29,6.25,6.31,6.25,222409,146695926.00,0.95,-0.64,-0.04,0.08,5.49
67,600000,浦发银行,银行,2024-01-11,6.24,6.21,6.27,6.20,359147,235312058.00,1.12,-0.64,-0.04,0.12,5.49
